TableCount	1
TABLE 1 ROWS 156 COLS 9
TT	Tên vật tư	Đơn vị tính	Số lượng	Ký hiệu nhãn mác	Xuất xứ	Thời gian bảo hành	Đơn giá	Thành tiền
78	Đầu bịt tròn uPVC Ø76	Chiếc	50	Tiền Phong	Việt Nam		9.091	454.550
79	Đầu bịt tròn uPVC Ø110	Chiếc	20	Tiền Phong	Việt Nam		24.545	490.900
80	Băng tan	Cuộn	150	Tombo 9082	Malaysia		4.545	681.750
81	Bộ ruột xả nước bồn cầu - Loại tay gạt hông	Bộ	100	A701-2-B/ Inax	Việt Nam	12 tháng	181.818	18.181.800
82	Bộ nắp bồn cầu	Bộ	120	CF37AKV/ Inax	Việt Nam	12 tháng	286.364	34.363.680
83	Bồn cầu vệ sinh	Bộ	20	C-117VA/ Inax	Việt Nam	12 tháng	1.627.273	32.545.460
84	Chậu rửa mặt có chân đứng	Bộ	20	L-282V(EC/FC) + L-284VD/ Inax	Việt Nam	12 tháng	1.009.091	20.181.820
85	Dây cấp nước chậu rửa - loại ngắn	Chiếc	300	BF422/ Caesar	Việt Nam	6 tháng	98.182	29.454.600
86	Vòi chậu rửa nóng lạnh - 1 chân	Chiếc	50	B380CU/ Caesar	Việt Nam	12 tháng	1.006.364	50.318.200
87	Vòi chậu rửa nóng lạnh - 2 chân	Chiếc	100	CleanMAX - 51225	Việt Nam	12 tháng	681.818	68.181.800
88	Vòi chậu rửa - 1 chân	Chiếc	70	B104C/ Caesar	Việt Nam	12 tháng	441.818	30.927.260
89	Vòi chậu rửa dụng cụ - 1 chân	Chiếc	40	K027C/ Caesar	Việt Nam	12 tháng	409.091	16.363.640
90	Vòi xịt vệ sinh	Chiếc	200	CFV-102A/ Inax	Việt Nam	12 tháng	392.727	78.545.400
91	Vòi sen tắm nước nóng lạnh gắn tường	Chiếc	20	S383C/ Caesar	Việt Nam	12 tháng	1.227.273	24.545.460
92	Van xả ấn bồn tiểu  loại ống thẳng	Bộ	40	BF412G/ Caesar	Việt Nam	12 tháng	781.818	31.272.720
93	Xi phông	Bộ	400	A325PS/ Inax	Việt Nam	12 tháng	306.364	122.545.600
	Thành tiền	1.879.092.727						
	Thuế GTGT 10%	187.909.273						
	Tổng thành tiền	2.067.002.000						
Bằng chữ: Hai tỷ, không trăm sáu mươi bảy triệu, không trăm lẻ hai nghìn đồng./.Giá trên đã bao gồm thuế 10% VAT, chi phí vận chuyển và các chi phí khác liên quan theo quy định của pháp luật.								
